#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_nubia;Makuria;Makourie;Makuria;;Makuria;;;;;;;;;x
d_nubia_adj;Makurian;makourienne;Makurisch;;Makurrana;;;;;;;;;x
#d_hayya;Hayya;;Hayya;;Hayya;;;;;;;;;x
#d_hayya_adj;Hayyan;;Hayisch;;Hayana;;;;;;;;;x
#d_sennar;Sennar;;Sannar;;Sennar;;;;;;;;;x
#d_sennar_adj;Sennari;;Sannarisch;;Sennarí;;;;;;;;;x
LIEGEPIETY_HEADER;[Player.Religion.GetPietyName] to Liege;[Player.Religion.GetPietyName] pour le seigneur lige;[Player.Religion.GetPietyName] für Lehnsherr;;[Player.Religion.GetPietyName] para el Señor;;;;;;;;;x
#NO_LIEGEPIETY;This vassal is not giving any piety to you.\nSome buildings in temple holdings give piety to the holder's liege.;;Dieser Vasall bringt Euch keine Pietät.\nEinige Gebäude in Tempel-Besitztümern generieren Pietät für den Lehnsherrn des Besitzers.;;Este vasallo no te proporciona nada de piedad.\nAlgunas construcciones en los templos proporcionan piedad al Señor del terrateniente;;;;;;;;;x
major_river_crossing;Major River crossing;Franchissement d'un fleuve majeur;bedeutende Furt;;Cruzar un río importante;;;;;;;;;x
realm_job_spiritual;Realm $TITLE$s;$TITLE$s vassaux;Reichs-$TITLE$;;$TITLE$s del Reino;;;;;;;;;x
job_spiritual_finnish_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_finnish_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_baltic_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_baltic_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_slavic_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_slavic_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_tengri_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_tengri_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_zoroastrian;Mobad;Mobad;Mobed;;Mobad;;;;;;;;;x
nick_hardeknud;Hardeknud;Hardeknud;Hardiknut;;Harthacnut;;;;;;;;;x
steppe;Steppe;Steppe;Steppe;;Estepa;;;;;;;;;x
TOGGLE_LOOTER_FAIL_CHARALLOWED; Owner Allowed to Loot; Le propriétaire peut piller; Besitzer kann plündern;; Señor puede saquear;;;;;;;;;x
TOGGLE_LOOTER_FAIL_INOWNLAND; Unit is in friendly lands; L'unité est en territoire ami; Einheit ist in befreundetem Gebiet;;La unidad se encuentra en tierras amigas;;;;;;;;;x
TOGGLE_LOOTER_FAIL_MERC; Unit has no Mercenary subunits; L'unité n'inclut pas de compagnie de mercenaires; Einheit enthält keine Söldner;;En la unidad no pueden paraticipar Mercenarios;;;;;;;;;x
TOGGLE_LOOTER_FAIL_ISATTACHED; Unit is not attached to another Unit; L'unité n'est pas attachée à une autre unité; Einheit ist keiner anderen Einheit angeschlossen;;Esta unidad no forma parte de otra unidad;;;;;;;;;x
TOGGLE_LOOTER_FAIL_HASATTACHED; Unit does not have any attached Units; L'unité n'a aucune unité attachée; Einheit hat keine anderen angeschlossenen Einheiten;;Esta unidad no está constituida por más unidades.;;;;;;;;;x
INTERACTION_GRANT_GAVELKIND_EXPLOIT;As your primary heir under Gavelkind, §Y$NAME$§! cannot be granted §Y$TITLE$§!;En tant que votre premier héritier en partage salique, §Y$NAME$§! ne peut pas recevoir §Y$TITLE$§!;Als direkter Erbe unter Erbteilung kann §Y$NAME$§! §Y$TITLE$§! nicht erhalten;;Como tu principal heredero bajo la Ley de Sucesión por División, §Y$NAME$§! no puede recibir el §Y$TITLE$§!;;;;;;;;;x
ca_steppe_barracks_1;Steppe Warrior Lodge;Hutte de guerriers des steppes;Steppenkriegerhütte;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_2;Steppe Warrior Lodge;Hutte de guerriers des steppes;Steppenkriegerhütte;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_3;Steppe Warrior Lodge;Hutte de guerriers des steppes;Steppenkriegerhütte;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_4;Steppe Warrior Lodge;Hutte de guerriers des steppes;Steppenkriegerhütte;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_5;Steppe Warrior Lodge;Hutte de guerriers des steppes;Steppenkriegerhütte;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_6;Steppe Warrior Lodge;Hutte de guerriers des steppes;Steppenkriegerhütte;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_stable_1;Steppe Riding Grounds;Terrain équestre des steppes;Steppenreiterkoppel;;Zona de Equitación de la Estepa;;;;;;;;;x
ca_steppe_stable_2;Steppe Riding Grounds;Terrain équestre des steppes;Steppenreiterkoppel;;Zona de Equitación de la Estepa;;;;;;;;;x
ca_steppe_stable_3;Steppe Riding Grounds;Terrain équestre des steppes;Steppenreiterkoppel;;Zona de Equitación de la Estepa;;;;;;;;;x
ca_steppe_stable_4;Steppe Riding Grounds;Terrain équestre des steppes;Steppenreiterkoppel;;Zona de Equitación de la Estepa;;;;;;;;;x
