#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
set_government_type;Government is changed to §Y$GOVERNMENT$§!\n;Le type de gouvernement est changé en §Y$GOVERNMENT$§!\n;Regierungsform ist nun §Y$GOVERNMENT$§!\n;;Gobierno se cambia a §Y$GOVERNMENT$§!\n;;;;;;;;;x
feudal_government;Feudal;Féodalité;Feudalsystem;;Feudal;;;;;;;;;x
republic_government;Republic;République;Republik;;república;;;;;;;;;x
merchant_republic_government;Merchant Republic;République marchande;Handelsrepublik;;República mercante;;;;;;;;;x
theocracy_government;Theocracy;Théocratie;Theokratie;;teocracia;;;;;;;;;x
muslim_government;Iqta;Iqtâ;Iqta;;Iqta;;;;;;;;;x
tribal_government;Tribal;Organisation tribale;Stammesregierung;;Tribal;;;;;;;;;x
RETCAP_FROM_GOVERNMENT;From Government: $AMOUNT$\n;Du gouvernement : $AMOUNT$\n;Durch Regierungsform: $AMOUNT$\n;;Del gobierno: $AMOUNT$\n;;;;;;;;;x
GOVERNMENT_CANNOT_CREATE_KINGDOMS;Theocracies, Holy Orders and Mercenaries cannot create kingdoms!;Les théocraties, ordre sacrés et mercenaires ne peuvent pas créer de royaumes !;Theokratien, Orden und Söldner können keine Königreiche gründen!;;¡Teocracias, órdenes sagradas y mercenarios no pueden crear reinos!;;;;;;;;;x
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES;Merchant Republics and Patricians cannot usurp kingdoms or empires;Les républiques marchandes et les patriciennes ne peuvent pas usurper de royaumes ou d'empires;Handelsrepubliken und Patrizier können keine Königreiche oder Reiche übernehmen;;Repúblicas mercantes y patricios no pueden usurpar reinos o imperios.;;;;;;;;;x
GAME_STATE_WAS_CORRUPTED;Game State is corrupted. Please restart the game.;La partie est endommagée. Veuillez redémarrer le jeu.;Spieldaten fehlerhaft. Bitte Spiel neu starten.;;El estado del juego se ha corrompido. Por favor, reinicia el juego.;;;;;;;;;x
TRIBAL_TAX;Tribal Tax;Impôt tribal;Stammesbesteuerung;;Impuesto tribal;;;;;;;;;x
GOVERNMENT_CANT_BUILD_HOLDINGS;§R$GOVERNMENT$ rulers Cannot Build new Holdings§!;Les dirigeants d'un gouvernement de type '§R$GOVERNMENT$' ne peuvent pas construire de nouvelles propriétés§!;Herrscher der Regierungsform §R$GOVERNMENT$ können keine neuen Besitztümer errichten§!;;¡Los gobernantes de §R$GOVERNMENT$ no pueden construir nuevas Posesiones§!;;;;;;;;;x
GOVERNMENT_NO_LIEGE_LEVY;Independent Tribal or Nomadic Rulers do not get liege levies from their vassal tribes;Les dirigeants tribaux et nomades indépendants ne peuvent percevoir de levées seigneuriales de leurs tribus vassales;Unabhängige Stammesherrscher erhalten von ihren Vasallen keine Lehnstruppen.;;Los dirigentes tribales independientes no puede reclutar levas de sus vasallos tribales.;;;;;;;;;x
PLAYERS_IN_UNIT;Player Characters in Unit;Personnages joueurs de l'unité;Spieler-Charaktere in der Einheit;;Personajes de Jugadores en la Unidad;;;;;;;;;x
PLAYERS_IN_ATTACKERS;Attacking Player Characters;Attaque de personnages joueurs;Angreifende Spieler-Charaktere;;Atacar a personajes humanos;;;;;;;;;x
YOU_IN_ATTACKERS;You are an attacker in this battle;Vous êtes un attaquant dans ce combat;Ihr seid unter den Angreifern in dieser Schlacht.;;Eres un atacante en esta batalla;;;;;;;;;x
PLAYERS_IN_DEFENDERS;Defending Player Characters;Défense de personnages joueurs;Verteidigende Spieler-Charaktere;;Defender personajes humanos;;;;;;;;;x
YOU_IN_DEFENDERS;You are a defender in this battle;Vous êtes un défenseur dans ce combat;Ihr gehört zu den Verteidigern in dieser Schlacht.;;Eres un defensor en esta batalla;;;;;;;;;x
destroy_title_interaction_LONG_DESC;Destroy this title.;Détruisez ce titre.;Diesen Titel vernichten.;;Destruye este título.;;;;;;;;;x
usurp_title_interaction_TITLE;Usurp Title;Usurper le titre;Titel übernehmen;;Usurpa título;;;;;;;;;x
usurp_title_interaction_LONG_DESC;Usurp this title.;Usurpez ce titre.;Diesen Titel übernehmen.;;Usurpa este título.;;;;;;;;;x
create_title_interaction_LONG_DESC;Create this title.;Créez ce titre.;Diesen Titel erschaffen.;;Crear este título.;;;;;;;;;x
make_primary_title_interaction_LONG_DESC;Make this your primary title.;Désignez ce titre comme votre titre principal.;Diesen Titel zu Eurem Haupttitel erklären.;;Haz de este título tu título primario.;;;;;;;;;x
make_capital_settlement_interaction_TITLE;Make Capital;Désigner comme capitale;Zur Hauptstadt machen;;Haga capital;;;;;;;;;x
make_capital_settlement_interaction_DESC;I can make this my capital.;Je peux désigner cette propriété comme capitale.;Ich kann dieses Besitztum zur Hauptstadt machen.;;Puedo hacer que esta sea mi capital.;;;;;;;;;x
