#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MENU_BAR_GAME_CONVERT;Export Game;Exporter une partie;Spiel exportieren;;Exportar Partida;;;;;;;;;x
MENU_BAR_GAME_CONVERT_DEL;Export game to EU4;Exporter une partie vers EU4;Spiel nach EU4 exportieren;;Exportar partuda a EU4;;;;;;;;;x
BARBER_TOOLTIP;Go to the Barber;Aller chez le barbier;Zum Barbier gehen;;Ir al Peluquero;;;;;;;;;x
RENAME_TITLE_TOOLTIP;Rename Title;Renommer titre;Titel umbenennen;;Renombrar Título;;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP;Customize House;Personnaliser dynastie;Haus anpassen;;Personaliza tu Dinastía;;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP_DISABLED;You can't customize this dynasty as you have to be top liege of all its members.;Vous ne pouvez pas personnaliser cette dynastie car vous devez être le plus haut seigneur de tous ses membres.;Du kannst diese Dynastie nicht anpassen, da du der oberste Lehnsherr all ihrer Mitglieder sein musst.;;No puedes personalizar esta dinastía porque tienes que ser el Señor de todos sus miembros.;;;;;;;;;x
c_lappland_adj;Sápmi;samie;Samisch;;Sápmi;;;;;;;;;x
RENAME;Rename;Renommer;Umbenennen;;Renombrar;;;;;;;;;x
NAME;Name;Nom;Name;;Nombre;;;;;;;;;x
ADJECTIVE;Adjective;Gentilé;Adjektiv;;Adjetivo;;;;;;;;;x
POSSIBLE_PLOT_POWER;Possible Plot Power;Puissance possible du complot;Mögliche Verschwörungsstärke;;Potencial posible del complot;;;;;;;;;x
AUTO_INVITE_PLOTTERS;Auto Invite Plotters;Invitation automatique des comploteurs;Verschwörer automatisch einladen;;Autoinvitar conspiradores;;;;;;;;;x
AUTO_STOP_PLOTS;Auto Stop Plots;Arrêt auto. des complots;Automatisch beenden;;Autodetener complots;;;;;;;;;x
AUTO_STOPPED_PLOT_SETUP;Plot Uncovered;Complot découvert;Verschwörung aufgedeckt;;Complot descubierto;;;;;;;;x
