#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###German custom_loc. DO NOT TRANSLATE IN OTHER LANGUAGES! 
string_DE_der;;;der;;;;;;;;;;;x
string_DE_Der;;;Der;;;;;;;;;;;x
string_DE_die;;;die;;;;;;;;;;;x
string_DE_Die;;;Die;;;;;;;;;;;x
string_DE_den;;;den;;;;;;;;;;;x
string_DE_Den;;;Den;;;;;;;;;;;x
string_DE_ein;;;ein;;;;;;;;;;;x
string_DE_Ein;;;Ein;;;;;;;;;;;x
string_DE_eine;;;eine;;;;;;;;;;;x
string_DE_Eine;;;Eine;;;;;;;;;;;x
string_DE_des;;;des;;;;;;;;;;;x
string_DE_Des;;;Des;;;;;;;;;;;x
string_DE_derdie;;;der/die;;;;;;;;;;;x
string_DE_DerDie;;;Der/Die;;;;;;;;;;;x
string_DE_dendie;;;den/die;;;;;;;;;;;x
string_DE_DenDie;;;Den/Die;;;;;;;;;;;x
string_DE_eineine;;;ein(e);;;;;;;;;;;x
string_DE_EinEine;;;Ein(e);;;;;;;;;;;x
string_DE_DesDer;;;des/der;;;;;;;;;;;x
string_DE_desder;;;Des/Der;;;;;;;;;;;x
string_DE_unseres;;;unseres;;;;;;;;;;;x
string_DE_Unseres;;;Unseres;;;;;;;;;;;x
string_DE_unserer;;;unserer;;;;;;;;;;;x
string_DE_Unserer;;;Unserer;;;;;;;;;;;x
string_DE_unser;;;unser;;;;;;;;;;;x
string_DE_Unser;;;Unser;;;;;;;;;;;x
string_DE_unsere;;;unsere;;;;;;;;;;;x
string_DE_Unsere;;;Unsere;;;;;;;;;;;x
string_DE_unserem;;;unserem;;;;;;;;;;;x
string_DE_Unserem;;;Unserem;;;;;;;;;;;x
string_DE_eines;;;eines;;;;;;;;;;;x
string_DE_Eines;;;Eines;;;;;;;;;;;x
string_DE_einer;;;einer;;;;;;;;;;;x
string_DE_Einer;;;Einer;;;;;;;;;;;x
string_DE_einem;;;einem;;;;;;;;;;;x
string_DE_Einem;;;Einer;;;;;;;;;;;x
string_DE_einen;;;einen;;;;;;;;;;;x
string_DE_Einen;;;Einen;;;;;;;;;;;x
string_DE_eineneine;;;eine(n);;;;;;;;;;;x
string_DE_EinenEinen;;;Eine(n);;;;;;;;;;;x
string_DE_unseresunserer;;;unseres/r;;;;;;;;;;;x
string_DE_UnseresUnserer;;;Unseres/r;;;;;;;;;;;x
string_DE_unserunsere;;;unser(e);;;;;;;;;;;x
string_DE_UnserUnsere;;;Unser(e);;;;;;;;;;;x
string_DE_unseremunserer;;;unserem/r;;;;;;;;;;;x
string_DE_UnseremUnserer;;;Unserem/r;;;;;;;;;;;x
string_DE_eineseiner;;;eines/r;;;;;;;;;;;x
string_DE_EinesEiner;;;Eines/r;;;;;;;;;;;x
string_DE_einemeiner;;;einem/r;;;;;;;;;;;x
string_DE_Einemeiner;;;Einem/r;;;;;;;;;;;x
string_DE_kein;;;kein;;;;;;;;;;;x
string_DE_Kein;;;Kein;;;;;;;;;;;x
string_DE_keine;;;keine;;;;;;;;;;;x
string_DE_Keine;;;Keine;;;;;;;;;;;x
string_DE_irgendein;;;irgendein;;;;;;;;;;;x
string_DE_Irgendein;;;Irgendein;;;;;;;;;;;x
string_DE_irgendeine;;;irgendeine;;;;;;;;;;;x
string_DE_Irgendeine;;;Irgendeine;;;;;;;;;;;x
string_DE_keinem;;;keinem;;;;;;;;;;;x
string_DE_Keinem;;;Keinem;;;;;;;;;;;x
string_DE_keiner;;;keiner;;;;;;;;;;;x
string_DE_Keiner;;;Keiner;;;;;;;;;;;x
string_DE_keinkeine;;;kein(e);;;;;;;;;;;x
string_DE_KeinKeine;;;Kein(e);;;;;;;;;;;x
string_DE_irgendeinirgendeine;;;irgendein(e);;;;;;;;;;;x
string_DE_IrgendeinIrgendeine;;;Irgendein(e);;;;;;;;;;;x
string_DE_keinemkeiner;;;keinem/r;;;;;;;;;;;x
string_DE_KeinemKeiner;;;Keinem/r;;;;;;;;;;;x
string_DE_dieser;;;dieser;;;;;;;;;;;x
string_DE_Dieser;;;Dieser;;;;;;;;;;;x
string_DE_diese;;;diese;;;;;;;;;;;x
string_DE_Diese;;;Diese;;;;;;;;;;;x
string_DE_dieses;;;dieses;;;;;;;;;;;x
string_DE_Dieses;;;Dieses;;;;;;;;;;;x
string_DE_diesem;;;diesem;;;;;;;;;;;x
string_DE_Diesem;;;Diesem;;;;;;;;;;;x
string_DE_dieserdiese;;;diese(r);;;;;;;;;;;x
string_DE_DieserDiese;;;Diese(r);;;;;;;;;;;x
string_DE_diesesdieser;;;dieses/r;;;;;;;;;;;x
string_DE_DiesesDieser;;;Dieses/r;;;;;;;;;;;x
string_DE_diesemdieser;;;diesem/r;;;;;;;;;;;x
string_DE_DiesemDieser;;;Diesem/r;;;;;;;;;;;x
string_DE_ihm;;;ihm;;;;;;;;;;;x
string_DE_Ihm;;;Ihm;;;;;;;;;;;x
string_DE_ihr;;;ihr;;;;;;;;;;;x
string_DE_Ihr;;;Ihr;;;;;;;;;;;x
string_DE_ihmihr;;;ihm/ihr;;;;;;;;;;;x
string_DE_IhmIhr;;;Ihm/Ihr;;;;;;;;;;;x
string_DE_dem;;;dem;;;;;;;;;;;x
string_DE_Dem;;;Dem;;;;;;;;;;;x
string_DE_demder;;;dem/der;;;;;;;;;;;x
string_DE_DemDer;;;Dem/Der;;;;;;;;;;;x
string_DE_meinem;;;meinem;;;;;;;;;;;x
string_DE_Meinem;;;Meinem;;;;;;;;;;;x
string_DE_meiner;;;meiner;;;;;;;;;;;x
string_DE_Meiner;;;Meiner;;;;;;;;;;;x
string_DE_meinemmeiner;;;meinem/r;;;;;;;;;;;x
string_DE_MeinemMeiner;;;Meinem/r;;;;;;;;;;;x
string_DE_euer;;;euer;;;;;;;;;;;x
string_DE_Euer;;;Euer;;;;;;;;;;;x
string_DE_eure;;;eure;;;;;;;;;;;x
string_DE_Eure;;;Eure;;;;;;;;;;;x
