#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## PRONOUNS
String_GetIlElle_male;_;il;;;;;;;;;;;;x
String_GetIlElle_female;_;elle;;;;;;;;;;;;x
String_GetIlElleCap_male;_;Il;;;;;;;;;;;;x
String_GetIlElleCap_female;_;Elle;;;;;;;;;;;;x
String_GetIlElleOpp_male;_;elle;;;;;;;;;;;;x
String_GetIlElleOpp_female;_;il;;;;;;;;;;;;x
String_GetIlElleCapOpp_male;_;Elle;;;;;;;;;;;;x
String_GetIlElleCapOpp_female;_;Il;;;;;;;;;;;;x
String_GetLeLa_male;_;le;;;;;;;;;;;;x
String_GetLeLa_female;_;la;;;;;;;;;;;;x
String_GetLeLaCap_male;_;Le;;;;;;;;;;;;x
String_GetLeLaCap_female;_;La;;;;;;;;;;;;x
String_GetLeLaOpp_male;_;la;;;;;;;;;;;;x
String_GetLeLaOpp_female;_;le;;;;;;;;;;;;x
String_GetLeLaCapOpp_male;_;La;;;;;;;;;;;;x
String_GetLeLaCapOpp_female;_;Le;;;;;;;;;;;;x
String_GetLuiElle_male;_;lui;;;;;;;;;;;;x
String_GetLuiElle_female;_;elle;;;;;;;;;;;;x
String_GetLuiElleOpp_male;_;elle;;;;;;;;;;;;x
String_GetLuiElleOpp_female;_;lui;;;;;;;;;;;;x
String_GetCeluiCelle_male;_;celui;;;;;;;;;;;;x
String_GetCeluiCelle_female;_;celle;;;;;;;;;;;;x
String_GetCeluiCelleCap_male;_;Celui;;;;;;;;;;;;x
String_GetCeluiCelleCap_female;_;Celle;;;;;;;;;;;;x
String_GetOnA_male;_;on;;;;;;;;;;;;x
String_GetOnA_female;_;a;;;;;;;;;;;;x
String_GetOnAOpp_male;_;a;;;;;;;;;;;;x
String_GetOnAOpp_female;_;on;;;;;;;;;;;;x
## ENDINGS
String_GetErEre_male;_;er;;;;;;;;;;;;x
String_GetErEre_female;_;ère;;;;;;;;;;;;x
String_GetEEtte_male;_;e;;;;;;;;;;;;x
String_GetEEtte_female;_;ette;;;;;;;;;;;;x
String_GetEtEtte_male;_;et;;;;;;;;;;;;x
String_GetEtEtte_female;_;ette;;;;;;;;;;;;x
String_GetXSe_male;_;x;;;;;;;;;;;;x
String_GetXSe_female;_;se;;;;;;;;;;;;x
String_GetLLle_male;_;l;;;;;;;;;;;;x
String_GetLLle_female;_;lle;;;;;;;;;;;;x
String_GetEurRice_male;_;eur;;;;;;;;;;;;x
String_GetEurRice_female;_;rice;;;;;;;;;;;;x
String_GetXCe_male;_;x;;;;;;;;;;;;x
String_GetXCe_female;_;ce;;;;;;;;;;;;x
String_GetNNne_male;_;n;;;;;;;;;;;;x
String_GetNNne_female;_;nne;;;;;;;;;;;;x
String_GetRSe_male;_;r;;;;;;;;;;;;x
String_GetRSe_female;_;se;;;;;;;;;;;;x
String_GetFVe_male;_;f;;;;;;;;;;;;x
String_GetFVe_female;_;ve;;;;;;;;;;;;x
String_GetEtEte_male;_;et;;;;;;;;;;;;x
String_GetEtEte_female;_;ète;;;;;;;;;;;;x
String_GetEurEresse_male;_;eur;;;;;;;;;;;;x
String_GetEurEresse_female;_;eresse;;;;;;;;;;;;x
String_GetOuOlle_male;_;ou;;;;;;;;;;;;x
String_GetOuOlle_female;_;olle;;;;;;;;;;;;x
String_GetEauElle_male;_;eau;;;;;;;;;;;;x
String_GetEauElle_female;_;elle;;;;;;;;;;;;x
String_GetSSse_male;_;s;;;;;;;;;;;;x
String_GetSSse_female;_;sse;;;;;;;;;;;;x
String_GetEEsse_male;_;e;;;;;;;;;;;;x
String_GetEEsse_female;_;esse;;;;;;;;;;;;x
String_GetEteEtesse_male;_;ète;;;;;;;;;;;;x
String_GetEteEtesse_female;_;étesse;;;;;;;;;;;;x
String_GetXSse_male;_;x;;;;;;;;;;;;x
String_GetXSse_female;_;sse;;;;;;;;;;;;x
