#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetTitledFirstName] must not be married;[Recipient.GetTitledFirstName] ne doit pas être marié[Recipient.GetNoneE];[Recipient.GetTitledFirstName] muss ledig sein;;[Recipient.GetTitledFirstName]No necesita estar casado;;;;;;;;;x
INTERACTION_CANNOT_INVITE_CONSORT;[Recipient.GetTitledFirstName] must not be a concubine;[Recipient.GetTitledFirstName] ne doit pas être un[Recipient.GetNoneE] concubin[Recipient.GetNoneE];[Recipient.GetTitledFirstName] darf keine Konkubine sein;;[Recipient.GetTitledFirstName] no necesita ser una concubina;;;;;;;;;x
AIREASON_LOVER;§Y[GetTitledFirstName]§! is my Lover;§Y[GetTitledFirstName]§! est mon amant[GetNoneE];§Y[GetTitledFirstName]§! ist mein(e) Liebhaber(in);;§Y[GetTitledFirstName]§! es mi amante;;;;;;;;;x
AIREASON_FRIEND;§Y[GetTitledFirstName]§! is my Friend;§Y[GetTitledFirstName]§! est mon ami[GetNoneE];§Y[GetTitledFirstName]§! ist mein(e) Freund(in);;§Y[GetTitledFirstName]§! es mi amigo;;;;;;;;;x
AIREASON_WITH_LOVER;Wants to stay with lover - §Y[GetTitledFirstName]§!;Souhaite rester avec son amant[GetNoneE] - §Y[GetTitledFirstName]§!;Möchte bei Liebhaber bleiben - §Y[GetTitledFirstName]§!;;Quiere quedarse con su amante, §Y[GetTitledFirstName]§!;;;;;;;;;x
#MODIFIER_SAME_RELIGION_OPINION;Same Religion;Même religion;Gleiche Religion;;Misma religión;;;;;;;;;x
PV_FORT;Fort;Fort;Festung;;Fortaleza;;;;;;;;;x
PV_TRADE_POST;Trade Post;Comptoir;Handelsposten;;Puesto comercial;;;;;;;;;x
adopt_wolf_child;The child is adopted with full right of inheritance.;L'enfant est adopté et jouit de son droit entier de succession.;Das Kind wird mit allen Erbrechten adoptiert.;;El niño es adoptado con pleno derecho de la herencia.;;;;;;;;;x
EVTTOOLTIP89008;Is informed of the murder attempt.;S'est vu informer de la tentative de meurtre.;Wurde über den Mordversuch informiert.;;Es informado de la tentativa de asesinato;;;;;;;;;x
claim_on_vassal_plot_desc;§Y$CLAIMANT$§! is trying to revoke the title of §Y$TITLE$§!, which has resulted in an armed conflict with §Y$TARGET$§!;§Y$CLAIMANT$§! tente de révoquer le titre de §Y$TITLE$§!, ce qui a engendré une confrontation armée avec §Y$TARGET$§!;§Y$CLAIMANT$§! versucht, den Titel §Y$TITLE$§! abzuerkennen, was zu einem bewaffneten Konflikt mit §Y$TARGET$§! geführt hat.;;§Y$CLAIMANT$§! intenta retirar el título de §Y$TITLE$§!, lo que ha derivado en un conflicto armado con §Y$TARGET$§!;;;;;;;;;x
EVTOPTC63011;This seems fishy. I should notify the supposed 'plotter'.;Ceci semble loufoque. Je devrais en avertir le prétendu « comploteur ».;Da stimmt etwas nicht. Ich sollte den angeblichen "Verschwörer" informieren.;;Esto parece sospechoso. Debería informar al supuesto "conspirador".;;;;;;;;;x
werewolf_howling_tooltip;Howling at the moon all through the night.;Hurler à la lune toute la nuit.;Verbringt die Nacht damit, den Mond anzuheulen.;;Aullando a la luna toda la noche.;;;;;;;;;x
werewolf_swimming_tooltip;Sleeping outside, all wet..;Dormir dehors, trempé[Root.GetNoneE]...;Schlaft völlig durchnässt im Freien.;;Durmiendo al raso, completamente mojado/a..;;;;;;;;;x
SENTIMENT;Sentiment:;Sentiment :;Meinung:;;Sentimiento:;;;;;;;;;x
#SENTIMENT_OF;Sentiment of;;Meinung von;;Sentimiento de;;;;;;;;;x
GRAZING_LAND;Need more grazing land;Besoin de plus de pâturage;Braucht mehr Weideland;;Necesitando más tierras de pastoreo;;;;;;;;;x
CLAN_OPINION;Clan sentiment;Sentiment du clan :;Klanmeinung;;Sentimiento de clan;;;;;;;;;x
MARRIAGE_TIES;Marriage ties;Famille par alliance;Ehebünde;;Lazos de matrimonio;;;;;;;;;x
WEAK;Weakness;Faiblesse;Schwäche;;Debilidad;;;;;;;;;x
TOO_MUCH_COMPETITION;Too much competition;Trop de concurrence;Zu viel Konkurrenz;;Demasiada competencia;;;;;;;;;x
CREATE_FEUD;$ACTOR$ and $RECIPIENT$ will be dragged into a feud;$ACTOR$ et $RECIPIENT$ seront impliqués dans une querelle;$ACTOR$ und $RECIPIENT$ werden in eine Fehde verwickelt;;$ACTOR$ y $RECIPIENT$ se verán arrastrados a una pelea;;;;;;;;;x
opinion_built_temple;Built Temple;Temple construit;Erbaute Tempel;;Templo construido;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_TITLE;Form a Blood Oath;Former un pacte du sang;Blutschwur ablegen;;Hacer un juramento de sangre;;;;;;;;;x
#FORM_BLOOD_OATH_INTERACTION_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;;Durch einen Blutschwur werden die beiden Klans geeint. Zweck des Schwurs ist es, dem anderen Klan im Verteidigungsfall zu helfen, im Krieg ein Bündnispartner und in Friedenszeiten ein Freund zu sein. Beachtet dabei jedoch, dass nur ein Klan Euer Bruderklan sein kann.;;Realizar un juramento de la sangre entre estos dos clanes será como si se convirtieran en uno solo. Juráis defenderos el uno al otro, siempre seréis aliados en la guerra y hermanos en la paz. Pero ten cuidado, puesto que sólo puedes tener un clan como hermano de sangre.;;;;;;;;;x
#FORM_BLOOD_OATH_INTERACTION_LONG_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;;Durch einen Blutschwur werden die beiden Klans geeint. Zweck des Schwurs ist es, dem anderen Klan im Verteidigungsfall zu helfen, im Krieg ein Bündnispartner und in Friedenszeiten ein Freund zu sein. Beachtet dabei jedoch, dass nur ein Klan Euer Bruderklan sein kann.;;Realizar un juramento de la sangre entre estos dos clanes será como si se convirtieran en uno solo. Juráis defenderos el uno al otro, siempre seréis aliados en la guerra y hermanos en la paz. Pero ten cuidado, puesto que sólo puedes tener un clan como hermano de sangre.;;;;;;;;;x
INTERACTION_NO_BLOOD_BROTHER;§Y$CLAN$§! can't already have a Blood Brother;§Y$CLAN$§! ne peut pas encore avoir un frère de sang;§Y$CLAN$§! darf nicht bereits per Blutschwur gebunden sein;;§Y$CLAN$§!X ya no puede tener un hermano de sangre;;;;;;;;;x
HAS_BLOOD_OATH_WITH;Has a Blood Oath with §Y$CLAN$§!;A formé un pacte du sang avec le clan §Y$CLAN$§!;Hat Blutschwur mit §Y$CLAN$§!;;Tiene un juramento de sangre con;;;;;;;;;x
NOT_HAS_BLOOD_OATH_WITH;Do not have a Blood Oath with §Y$CLAN$§!;N'a pas formé un pacte du sang avec le clan §Y$CLAN$§!;Hat keinen Blutschwur mit §Y$CLAN$§!;;No tiene un juramento de sangre con §Y$CLAN$§!;;;;;;;;;x
declare_feud;Declare Feud;Déclencher une querelle;Fehde ausrufen;;Declarar enemistad;;;;;;;;;x
#declare_feud_desc;Declare a feud between your clan and another.;;Ruft eine Fehde zwischen Eurem und einem anderen Klan aus.;;Declarar una disputa entre tu clan y otro.;;;;;;;;;x
opinion_feud;Feud;Querelle;Fehde;;Enemistad;;;;;;;;;x
BLOOD_BROTHER;Blood Brothers;Frères de sang;Blutsbrüder;;Hermanos de sangre;;;;;;;;;x
EVTDESC505;I swear to you that we shall be bonded by blood as brothers!;Je jure de me comporter désormais tel un frère lié par le sang !;Ich schwöre, dass wir fortan durch Blut wie Brüder verbunden sein sollen!;;¡Te juro que estaremos unidos por la sangre como hermanos!;;;;;;;;;x
EVTDESC506;I do not accept your offer of blood oath.;Je n'accepte pas votre offre de pacte du sang.;Ich lehne den Blutschwur mit Euch ab.;;No acepto tu oferta de juramento de sangre.;;;;;;;;;x
INTERACTION_CANT_DOW_BLOOD_BROTHER;Must not be a blood brother;Ne doit pas être un frère de sang;Darf kein Blutsbruder sein;;No debe ser un hermano de sangre;;;;;;;;;x
